temperature_C,do_mg_L,synthetic_potential_difference_V
80,1.5,-0.11919642857142862
80,2.0,-0.12064285714285716
80,2.5,-0.12208928571428576
80,3.0,-0.12353571428571433
80,3.5,-0.1249821428571429
80,4.0,-0.12642857142857145
80,4.5,-0.12787500000000004
80,5.0,-0.12932142857142861
80,5.5,-0.13076785714285719
80,6.0,-0.13221428571428576
80,6.5,-0.1336607142857143
80,7.0,-0.1351071428571429
80,7.5,-0.13655357142857147
80,8.0,-0.13800000000000004
85,0.0,0.058002
85,0.5,-0.039018
85,1.0,-0.138018
85,1.5,-0.1392857142857143
85,2.0,-0.14057142857142857
85,2.5,-0.14185714285714288
85,3.0,-0.14314285714285716
85,3.5,-0.14442857142857143
85,4.0,-0.1457142857142857
85,4.5,-0.14700000000000002
85,5.0,-0.1482857142857143
85,5.5,-0.14957142857142858
85,6.0,-0.15085714285714288
85,6.5,-0.15214285714285714
85,7.0,-0.15342857142857144
85,7.5,-0.15471428571428572
85,8.0,-0.156
90,0.0,0.013251750000000007
90,0.5,-0.07164075000000003
90,1.0,-0.15826575000000004
90,1.5,-0.15937500000000002
90,2.0,-0.16050000000000003
90,2.5,-0.16162500000000002
90,3.0,-0.16275000000000003
90,3.5,-0.16387500000000002
90,4.0,-0.165
90,4.5,-0.16612500000000002
90,5.0,-0.16725000000000004
90,5.5,-0.16837500000000002
90,6.0,-0.1695
90,6.5,-0.170625
90,7.0,-0.17175000000000004
90,7.5,-0.172875
90,8.0,-0.17400000000000002
95,0.0,-0.03149849999999993
95,0.5,-0.10426349999999998
95,1.0,-0.1785135
95,1.5,-0.1794642857142857
95,2.0,-0.18042857142857144
95,2.5,-0.18139285714285713
95,3.0,-0.18235714285714283
95,3.5,-0.18332142857142858
95,4.0,-0.18428571428571427
95,4.5,-0.18525
95,5.0,-0.18621428571428572
95,5.5,-0.18717857142857142
95,6.0,-0.18814285714285714
95,6.5,-0.18910714285714283
95,7.0,-0.19007142857142856
95,7.5,-0.19103571428571428
95,8.0,-0.192
